'Letter', 'Count', 'Percentage'
'a', 499, 8.575356590479464
'b', 30, 0.5155525004296271
'c', 126, 2.165320501804434
'd', 362, 6.221000171850834
'e', 301, 5.172710087643925
'f', 123, 2.113765251761471
'g', 143, 2.4574669187145557
'h', 303, 5.207080254339234
'i', 543, 9.33150025777625
'j', 17, 0.292146416910122
'k', 26, 0.4468121670390101
'l', 146, 2.5090221687575185
'm', 423, 7.269290256057742
'n', 232, 3.986939336655783
'o', 214, 3.6776078363980065
'p', 826, 14.194878845162398
'q', 46, 0.7905138339920948
'r', 295, 5.069599587558
's', 664, 11.410895342842412
't', 187, 3.213610586011342
'u', 154, 2.6465028355387523
'v', 88, 1.5122873345935728
'w', 30, 0.5155525004296271
'x', 14, 0.2405911668671593
'y', 4, 0.06874033339061694
'z', 23, 0.3952569169960474
'Letter', 'Count', 'Percentage'
'a', 534, 9.176834507647362
'b', 25, 0.4296270836913559
'c', 153, 2.629317752191098
'd', 45, 0.7733287506444406
'e', 1095, 18.81766626568139
'f', 21, 0.36088675030073897
'g', 19, 0.32651658360543045
'h', 262, 4.50249183708541
'i', 413, 7.097439422581199
'k', 1, 0.017185083347654236
'l', 159, 2.7324282522770234
'm', 125, 2.14813541845678
'n', 726, 12.476370510396976
'o', 595, 10.22512459185427
'p', 169, 2.904279085753566
'q', 23, 0.3952569169960474
'r', 367, 6.306925588589104
's', 142, 2.4402818353669016
't', 132, 2.2684310018903595
'u', 372, 6.392851005327375
'v', 63, 1.082660250902217
'w', 3, 0.05155525004296271
'x', 99, 1.7013232514177694
'y', 274, 4.70871283725726
'z', 2, 0.03437016669530847
'Letter', 'Count', 'Percentage'
'a', 340, 5.84292833820244
'b', 124, 2.1309503351091252
'c', 432, 7.42395600618663
'd', 165, 2.835538752362949
'e', 477, 8.19728475683107
'f', 93, 1.5982127513318438
'g', 128, 2.199690668499742
'h', 84, 1.4435470012029559
'i', 219, 3.7635332531362775
'j', 12, 0.20622100017185083
'k', 3, 0.05155525004296271
'l', 362, 6.221000171850834
'm', 239, 4.107234920089362
'n', 452, 7.7676576731397144
'o', 211, 3.626052586355044
'p', 419, 7.2005499226671255
'q', 16, 0.27496133356246777
