'Letter', 'Count', 'Percentage'
'a', 2, 12.5
'c', 4, 25.0
'e', 3, 18.75
'i', 1, 6.25
'm', 6, 37.5
'Letter', 'Count', 'Percentage'
'i', 5, 31.25
'n', 3, 18.75
'o', 4, 25.0
'u', 1, 6.25
'x', 3, 18.75
'Letter', 'Count', 'Percentage'
'd', 1, 6.25
'l', 1, 6.25
'n', 3, 18.75
's', 5, 31.25
't', 5, 31.25
'u', 1, 6.25
'Letter', 'Count', 'Percentage'
'i', 3, 18.75
'n', 1, 6.25
'r', 3, 18.75
't', 3, 18.75
'u', 5, 31.25
'v', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 3, 18.75
'e', 2, 12.5
'g', 1, 6.25
'i', 1, 6.25
'n', 5, 31.25
'r', 2, 12.5
's', 1, 6.25
't', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 2, 12.5
'd', 5, 31.25
'e', 1, 6.25
'g', 1, 6.25
'r', 2, 12.5
's', 1, 6.25
't', 4, 25.0
'Letter', 'Count', 'Percentage'
'a', 1, 6.25
'e', 9, 56.25
'i', 3, 18.75
'r', 1, 6.25
's', 1, 6.25
't', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 2, 12.5
'n', 4, 25.0
'r', 9, 56.25
'v', 1, 6.25
'Letter', 'Count', 'Percentage'
'b', 1, 6.25
'd', 2, 12.5
'e', 2, 12.5
'g', 1, 6.25
'i', 1, 6.25
'r', 3, 18.75
's', 5, 31.25
't', 1, 6.25
'Letter', 'Count', 'Percentage'
'e', 3, 18.75
'i', 3, 18.75
'l', 1, 6.25
'r', 1, 6.25
't', 6, 37.5
'u', 1, 6.25
'v', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 7, 43.75
'c', 2, 12.5
'i', 2, 12.5
'o', 2, 12.5
's', 3, 18.75
'Letter', 'Count', 'Percentage'
'a', 2, 12.5
'l', 1, 6.25
'n', 6, 37.5
's', 2, 12.5
't', 5, 31.25
'Letter', 'Count', 'Percentage'
'a', 1, 6.25
'd', 5, 31.25
'h', 2, 12.5
'i', 2, 12.5
'r', 3, 18.75
't', 2, 12.5
'u', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 1, 6.25
'i', 10, 62.5
'l', 1, 6.25
'm', 1, 6.25
'o', 2, 12.5
't', 1, 6.25
'Letter', 'Count', 'Percentage'
'a', 3, 18.75
'b', 1, 6.25
'e', 1, 6.25
'i', 2, 12.5
'n', 7, 43.75
'o', 2, 12.5
'Letter', 'Count', 'Percentage'
'a', 2, 12.5
'g', 5, 31.25
'l', 4, 25.0
'n', 3, 18.75
'o', 1, 6.25
's', 1, 6.25
'Letter', 'Count', 'Percentage'
'e', 1, 6.25
'l', 2, 12.5
'n', 1, 6.25
's', 10, 62.5
't', 2, 12.5
